,FIRM GROWTH,ANNUAL SALES,INITIAL SALES,CREDIT ACCESS,_2015_a6b,,,,,,,,,,,,,,,,,,,,
,-8%,9000000000,1E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,22%,1.17E+11,65000000000,10000,1,,,,,,,,,,,,,,,,,,,,
,-11%,8500000000,10000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,125%,14725000000,16500000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,40%,50000000,35000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,11%,1.39E+11,2.36E+11,2000000000,1,,,,,,,,,,,,,,,,,,,,
,0%,60000000000,5000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,56%,1.5E+11,2.17E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,1.72E+11,1.6E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,45000000000,75000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-14%,7.5E+11,5E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,7%,17000000000,20400000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,3000000000,3000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,25%,33500000000,Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,20%,1E+11,9.5E+11,100,1,,,,,,,,,,,,,,,,,,,,
,0%,11600000000,11000000000,100,1,,,,,,,,,,,,,,,,,,,,
,20%,50000000000,48000000000,200,1,,,,,,,,,,,,,,,,,,,,
,158%,4380000000,4197500000,500,1,,,,,,,,,,,,,,,,,,,,
,17%,500000000,400000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,250%,4100000000,1300000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,25%,8000000000,9000000000,30000000,1,,,,,,,,,,,,,,,,,,,,
,30%,1800000000,Don't know (spontaneous),2000,1,,,,,,,,,,,,,,,,,,,,
,16%,1885000000,1900000000,50,1,,,,,,,,,,,,,,,,,,,,
,-12%,420000000,420000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,1%,50000000,65000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-15%,3810000000,3758000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,4%,45000000,70000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,19%,765000000,1147500000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,3%,2000000000,1000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-50%,25000000000,25000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,700%,9100000000,9000000000,20000000,1,,,,,,,,,,,,,,,,,,,,
,-12%,28000000000,20000000000,20,1,,,,,,,,,,,,,,,,,,,,
,-16%,40000000000,30000000000,50,2,,,,,,,,,,,,,,,,,,,,
,124%,360000000,300000000,200000000,1,,,,,,,,,,,,,,,,,,,,
,614%,75000000,90000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,33%,6310000000,Does not apply,100,1,,,,,,,,,,,,,,,,,,,,
,-22%,1100000000,1000000000,350000000,1,,,,,,,,,,,,,,,,,,,,
,-18%,329124000,427861000,75000000,1,,,,,,,,,,,,,,,,,,,,
,-17%,816000000,780000000,17000000,1,,,,,,,,,,,,,,,,,,,,
,129%,1.28E+11,1.38615E+11,6000000,1,,,,,,,,,,,,,,,,,,,,
,9%,36000000000,3200000000,4000,1,,,,,,,,,,,,,,,,,,,,
,27%,11400000000,9660000000,300,1,,,,,,,,,,,,,,,,,,,,
,26%,10500000000,10100000000,25,1,,,,,,,,,,,,,,,,,,,,
,1590%,Don't know (spontaneous),Don't know (spontaneous),50,1,,,,,,,,,,,,,,,,,,,,
,14186%,15000000000,1350000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,50%,12850000000,1.4167E+11,20000000,1,,,,,,,,,,,,,,,,,,,,
,150%,1080000000,960000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-9%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,33%,12000000000,12000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,129%,4000000000,2700000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,32%,4000000000,4000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,50%,250000000,210000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,70%,15000000000,15000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,22%,4E+11,Don't know (spontaneous),500000000,1,,,,,,,,,,,,,,,,,,,,
,32%,6000000000,6000000000,200,1,,,,,,,,,,,,,,,,,,,,
,-9%,1200000000,1200000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,23%,2500000000,2500000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,900%,8000000000,9000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,30%,2000000000,2100000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,33%,10800000000,12000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,20%,9500000000,9500000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,10%,3360000000,9000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,380%,700000000,600000000,1000000000,1,,,,,,,,,,,,,,,,,,,,
,99900%,7000000000,5000000000,10,1,,,,,,,,,,,,,,,,,,,,
,900%,9500000000,9500000000,5000000,1,,,,,,,,,,,,,,,,,,,,
,67%,58000000000,40000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-23%,7000000000,7000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-20%,1E+11,85000000000,50,1,,,,,,,,,,,,,,,,,,,,
,9%,3500000000,3700000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,96674%,30000000000,25000000000,1,1,,,,,,,,,,,,,,,,,,,,
,500%,3200000000,3200000000,50,1,,,,,,,,,,,,,,,,,,,,
,-5%,600000000,600000000,100000000,1,,,,,,,,,,,,,,,,,,,,
,200%,70000000000,60000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-21%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,43%,1200000000,1300000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-100%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,18%,1100000000,900000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-13%,8000000000,9000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,450000000,200000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,20%,360000000,Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,700000000,500000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,300000000,270000000,10000,1,,,,,,,,,,,,,,,,,,,,
,-28%,950000000,950000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,12500000000,8000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,33%,1500000000,1500000000,500,1,,,,,,,,,,,,,,,,,,,,
,733%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,1500000000,1500000000,50000,1,,,,,,,,,,,,,,,,,,,,
,29%,12000000,14000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-8%,1600000000,1500000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,25%,Don't know (spontaneous),300000000,500000,1,,,,,,,,,,,,,,,,,,,,
,0%,2700000000,2700000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,20%,1440000000,1152000000,10000,1,,,,,,,,,,,,,,,,,,,,
,80%,300000000,250000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,13%,Don't know (spontaneous),Don't know (spontaneous),13000000000,1,,,,,,,,,,,,,,,,,,,,
,0%,800000000,800000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,13%,360000000,300000000,200000,1,,,,,,,,,,,,,,,,,,,,
,100%,310000000,120000000,500000,1,,,,,,,,,,,,,,,,,,,,
,25%,350000000,300000000,1000000,1,,,,,,,,,,,,,,,,,,,,
,-60%,175000000,50000000,1500,1,,,,,,,,,,,,,,,,,,,,
,-56%,600000000,480000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,67%,260000000,200000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-17%,44000000000,38000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,900%,16863000000,19247000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,140%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,14%,36254000000,35772000000,150,1,,,,,,,,,,,,,,,,,,,,
,-10%,Don't know (spontaneous),Don't know (spontaneous),5000,1,,,,,,,,,,,,,,,,,,,,
,-21%,31384000000,36799000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-13%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,3210000000,3100000000,80,1,,,,,,,,,,,,,,,,,,,,
,25%,1898000000,Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-33%,3575000000,3000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,20%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,19%,5283000000,5115000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,100%,250000000,500000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-25%,4000000000,500000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,352590000,400000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-25%,240000000,285000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,0%,582820000,260000000,2000,2,,,,,,,,,,,,,,,,,,,,
,-17%,1000000000,140000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,99900%,14600000,10950000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-23%,180000000,230000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,0%,108000000,131000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-7%,750000000,900000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,0%,55000000,24000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-10%,321000000,294000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,100%,1080000000,850000000,25000000,3,,,,,,,,,,,,,,,,,,,,
,0%,440000000,350000000,50,2,,,,,,,,,,,,,,,,,,,,
,22%,18000000000,1065000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,78%,30000000000,210000000,5000,2,,,,,,,,,,,,,,,,,,,,
,43%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-17%,1200000000,800000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,7%,Don't know (spontaneous),Don't know (spontaneous),300,2,,,,,,,,,,,,,,,,,,,,
,14%,500000000,200000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,67%,576000000,633600000,2000000000,2,,,,,,,,,,,,,,,,,,,,
,11%,60000000,45000000,500000000,2,,,,,,,,,,,,,,,,,,,,
,150%,126000000,55000000,700000000,2,,,,,,,,,,,,,,,,,,,,
,-79%,250000000,190000000,15000000,2,,,,,,,,,,,,,,,,,,,,
,67%,180000000,120000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,0%,85000000,50000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-50%,660000000,540000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,23%,500000000,380000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,50%,60000000,66000000,50,2,,,,,,,,,,,,,,,,,,,,
,0%,37000000,30000000,2000,2,,,,,,,,,,,,,,,,,,,,
,14%,150000000,15000000,15000,2,,,,,,,,,,,,,,,,,,,,
,0%,300000000,230000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,12%,600000000,450000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,0%,60000000,50000000,50000000,2,,,,,,,,,,,,,,,,,,,,
,11%,106000000,96000000,5000,3,,,,,,,,,,,,,,,,,,,,
,-17%,2400000000,500000000,20000,2,,,,,,,,,,,,,,,,,,,,
,0%,34000000,Don't know (spontaneous),Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,33%,2000000000,2000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-17%,Don't know (spontaneous),48000000,2500,2,,,,,,,,,,,,,,,,,,,,
,149900%,360000000,36000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-6%,90000000,54000000,10000000,2,,,,,,,,,,,,,,,,,,,,
,-11%,500000000,650000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,25%,3.2E+12,4E+12,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,20%,3000000000,2750000000,Don't know (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,20%,3E+12,3100000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,150%,12000000000,2000000000,25,2,,,,,,,,,,,,,,,,,,,,
,41%,1900000000,2000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,13%,1500000000,500000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,1400%,1500000000,1900000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-21%,500000000,350000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,38%,600000,1000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,101%,100000000,85000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,50%,2800000000,3200000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,9%,6128000000,6100000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,4%,360000000,300000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-35%,750000000,750000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,26%,1600000000,1600000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,33%,2900000000,4000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-9%,600000000,600000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,233%,1200000000,900000000,,2,,,,,,,,,,,,,,,,,,,,
,567%,1000000000,120000000,,2,,,,,,,,,,,,,,,,,,,,
,43%,1500000000,1500000000,,3,,,,,,,,,,,,,,,,,,,,
,0%,4500000000,3500000000,,2,,,,,,,,,,,,,,,,,,,,
,-1%,6000000000,6500000000,,2,,,,,,,,,,,,,,,,,,,,
,-7%,1E+11,80000000000,,2,,,,,,,,,,,,,,,,,,,,
,10%,12000000000,12000000000,,2,,,,,,,,,,,,,,,,,,,,
,14%,1200000000,1000000000,,2,,,,,,,,,,,,,,,,,,,,
,11%,900000000,500000000,,3,,,,,,,,,,,,,,,,,,,,
,-37%,1100000000,970000000,,2,,,,,,,,,,,,,,,,,,,,
,-40%,1500000000,1500000000,,2,,,,,,,,,,,,,,,,,,,,
,83900%,875750000,775000000,,3,,,,,,,,,,,,,,,,,,,,
,17%,200000000,100000000,,2,,,,,,,,,,,,,,,,,,,,
,0%,15000000000,12000000000,,3,,,,,,,,,,,,,,,,,,,,
,18%,600000000,1500000000,,3,,,,,,,,,,,,,,,,,,,,
,-20%,1600000000,3600000000,,2,,,,,,,,,,,,,,,,,,,,
,50%,5000000000,3000000000,,1,,,,,,,,,,,,,,,,,,,,
,246%,1080000000,1300000000,,2,,,,,,,,,,,,,,,,,,,,
,1090%,300000000,30000000,,2,,,,,,,,,,,,,,,,,,,,
,33%,1200000000,500000000,,2,,,,,,,,,,,,,,,,,,,,
,0%,400000000,350000000,,1,,,,,,,,,,,,,,,,,,,,
,25%,7200000000,8000000000,,2,,,,,,,,,,,,,,,,,,,,
,-12%,950000000,1200000000,,2,,,,,,,,,,,,,,,,,,,,
,33%,156000000,180000000,,2,,,,,,,,,,,,,,,,,,,,
,28%,1600000000,1600000000,,2,,,,,,,,,,,,,,,,,,,,
,100%,250000000,200000000,,1,,,,,,,,,,,,,,,,,,,,
,0%,100000000,150000000,,2,,,,,,,,,,,,,,,,,,,,
,31%,3000000000,2500000000,,2,,,,,,,,,,,,,,,,,,,,
,33%,3600000000,3025000000,,2,,,,,,,,,,,,,,,,,,,,
,78%,600000000,300000000,,2,,,,,,,,,,,,,,,,,,,,
,-13%,150000000,200000000,,2,,,,,,,,,,,,,,,,,,,,
,92%,1500000000,1500000000,,3,,,,,,,,,,,,,,,,,,,,
,-29%,300000000,400000000,,2,,,,,,,,,,,,,,,,,,,,
,13%,720000000,720000000,,2,,,,,,,,,,,,,,,,,,,,
,0%,50000000,60000000,,3,,,,,,,,,,,,,,,,,,,,
,21%,3000000000,3000000,,2,,,,,,,,,,,,,,,,,,,,
,33%,3600000000,4700000000,,2,,,,,,,,,,,,,,,,,,,,
,29%,4.10625E+11,4.10625E+11,,2,,,,,,,,,,,,,,,,,,,,
,40%,18700000000,20000000000,,2,,,,,,,,,,,,,,,,,,,,
,0%,720000000,720000000,,2,,,,,,,,,,,,,,,,,,,,
,30%,360000000,400000000,,2,,,,,,,,,,,,,,,,,,,,
,20%,Don't know (spontaneous),Don't know (spontaneous),,2,,,,,,,,,,,,,,,,,,,,
,-8%,2E+11,1E+11,,2,,,,,,,,,,,,,,,,,,,,
,-10%,800000000,800000000,,2,,,,,,,,,,,,,,,,,,,,
,20%,5500000000,4500000000,,2,,,,,,,,,,,,,,,,,,,,
,-33%,2.35168E+12,1.32032E+12,,2,,,,,,,,,,,,,,,,,,,,
,233%,1E+13,7E+12,,2,,,,,,,,,,,,,,,,,,,,
,0%,Don't know (spontaneous),Does not apply,,2,,,,,,,,,,,,,,,,,,,,
,25%,50000000000,60000000000,,2,,,,,,,,,,,,,,,,,,,,
,8%,7500000000,7000000000,,2,,,,,,,,,,,,,,,,,,,,
,-17%,8E+12,7E+12,,2,,,,,,,,,,,,,,,,,,,,
,25%,2.5E+11,1.5E+11,,1,,,,,,,,,,,,,,,,,,,,
,38%,20000000000,18000000000,,2,,,,,,,,,,,,,,,,,,,,
,43%,1095000000,Does not apply,,1,,,,,,,,,,,,,,,,,,,,
,-14%,500000000,200000000,,2,,,,,,,,,,,,,,,,,,,,
,30%,2.2E+11,1.05E+12,,3,,,,,,,,,,,,,,,,,,,,
,-10%,5E+12,3E+12,,3,,,,,,,,,,,,,,,,,,,,
,-6%,500000000,500000000,,2,,,,,,,,,,,,,,,,,,,,
,67%,1E+11,2E+11,,3,,,,,,,,,,,,,,,,,,,,
,43%,8000000000,6500000000,,2,,,,,,,,,,,,,,,,,,,,
,33%,12000000000,8000000000,,2,,,,,,,,,,,,,,,,,,,,
,-14%,360000000,360000000,,2,,,,,,,,,,,,,,,,,,,,
,0%,8E+11,7E+11,,3,,,,,,,,,,,,,,,,,,,,
,33%,3500000000,3500000000,,2,,,,,,,,,,,,,,,,,,,,
,-14%,2800000000,2500000000,,2,,,,,,,,,,,,,,,,,,,,
,-17%,Don't know (spontaneous),Don't know (spontaneous),,3,,,,,,,,,,,,,,,,,,,,
,7%,6000000000,6000000000,,3,,,,,,,,,,,,,,,,,,,,
,0%,5000000000,4500000000,,3,,,,,,,,,,,,,,,,,,,,
,50%,1500000000,1800000000,,3,,,,,,,,,,,,,,,,,,,,
,8%,1500000000,1500000000,,2,,,,,,,,,,,,,,,,,,,,
,12%,4000000000,3000000000,,2,,,,,,,,,,,,,,,,,,,,
,-28%,1500000000,Don't know (spontaneous),,2,,,,,,,,,,,,,,,,,,,,
,15%,10000000000,12000000000,,2,,,,,,,,,,,,,,,,,,,,
,0%,Don't know (spontaneous),Don't know (spontaneous),,2,,,,,,,,,,,,,,,,,,,,
,15%,1.5E+11,100000000,,1,,,,,,,,,,,,,,,,,,,,
,-23%,9000000000,9600000000,,2,,,,,,,,,,,,,,,,,,,,
,21%,4E+11,4.5E+11,,2,,,,,,,,,,,,,,,,,,,,
,-6%,Don't know (spontaneous),Don't know (spontaneous),,2,,,,,,,,,,,,,,,,,,,,
,-5%,1500000000,1200000000,,2,,,,,,,,,,,,,,,,,,,,
,9%,1800000000,1500000000,,3,,,,,,,,,,,,,,,,,,,,
,-57%,1200000000,1000000000,,1,,,,,,,,,,,,,,,,,,,,
,-67%,500000000,200000000,,2,,,,,,,,,,,,,,,,,,,,
,-5%,480000000,340000000,,1,,,,,,,,,,,,,,,,,,,,
,-25%,475000000,421000000,,2,,,,,,,,,,,,,,,,,,,,
,20%,7500000000,500000000,,2,,,,,,,,,,,,,,,,,,,,
,21%,147600000,186000000,,2,,,,,,,,,,,,,,,,,,,,
,4%,1100000000,800000000,,2,,,,,,,,,,,,,,,,,,,,
,98%,2174300000,1081314000,,2,,,,,,,,,,,,,,,,,,,,
,150%,1500000000,1000000000,,2,,,,,,,,,,,,,,,,,,,,
,113%,340000000,312000000,,2,,,,,,,,,,,,,,,,,,,,
,120%,550000000,530000000,,2,,,,,,,,,,,,,,,,,,,,
,-12%,350000000,540000000,,2,,,,,,,,,,,,,,,,,,,,
,-20%,2520000000,2000000000,,2,,,,,,,,,,,,,,,,,,,,
,-3%,1068000000,Don't know (spontaneous),,2,,,,,,,,,,,,,,,,,,,,
,-17%,432000000,324000000,,2,,,,,,,,,,,,,,,,,,,,
,-25%,2400000000,Don't know (spontaneous),,1,,,,,,,,,,,,,,,,,,,,
,-9%,346000000,382000000,,2,,,,,,,,,,,,,,,,,,,,
,-10%,Don't know (spontaneous),Don't know (spontaneous),,3,,,,,,,,,,,,,,,,,,,,
,-4%,480000000,144000000,,2,,,,,,,,,,,,,,,,,,,,
,-4%,72000000,10800000,,2,,,,,,,,,,,,,,,,,,,,
,-6%,80000000,56000000,,2,,,,,,,,,,,,,,,,,,,,
,20%,300000000,300000000,,1,,,,,,,,,,,,,,,,,,,,
,75%,2.88E+12,2.9E+12,,2,,,,,,,,,,,,,,,,,,,,
,8%,3600000000,Don't know (spontaneous),,3,,,,,,,,,,,,,,,,,,,,
,-8%,648000000,700000000,,2,,,,,,,,,,,,,,,,,,,,
,5%,660000000,600000000,,2,,,,,,,,,,,,,,,,,,,,
,11%,41000000,36000000,,2,,,,,,,,,,,,,,,,,,,,
,88%,Don't know (spontaneous),Don't know (spontaneous),,2,,,,,,,,,,,,,,,,,,,,
,-3%,2160000000,1940000000,,2,,,,,,,,,,,,,,,,,,,,
,-8%,2160000000,3450000000,,3,,,,,,,,,,,,,,,,,,,,
,68%,15000000000,25000000000,,2,,,,,,,,,,,,,,,,,,,,
,11%,Don't know (spontaneous),Don't know (spontaneous),,2,,,,,,,,,,,,,,,,,,,,
,19%,210000000,250000,,2,,,,,,,,,,,,,,,,,,,,
,-5%,300000000,257000000,,2,,,,,,,,,,,,,,,,,,,,
,-12%,252000000,252000000,,2,,,,,,,,,,,,,,,,,,,,
,-9%,1000000000,850000000,,1,,,,,,,,,,,,,,,,,,,,
,-8%,4000000000,5000000000,,1,,,,,,,,,,,,,,,,,,,,
,-13%,1800000000,1200000000,,1,,,,,,,,,,,,,,,,,,,,
,-6%,1660000000,480000000,,3,,,,,,,,,,,,,,,,,,,,
,-4%,Don't know (spontaneous),Don't know (spontaneous),,2,,,,,,,,,,,,,,,,,,,,
,-14%,12500000000,1050000000,,2,,,,,,,,,,,,,,,,,,,,
,4%,420000000,315000000,,1,,,,,,,,,,,,,,,,,,,,
,-14%,100000000,100000000,,2,,,,,,,,,,,,,,,,,,,,
,-3%,360000000,288000000,,2,,,,,,,,,,,,,,,,,,,,
,-3%,750000000,850000000,,1,,,,,,,,,,,,,,,,,,,,
,-1%,Don't know (spontaneous),4000000000,,2,,,,,,,,,,,,,,,,,,,,
,9%,2000000000,1500000000,,2,,,,,,,,,,,,,,,,,,,,
,819%,2500000000,1950000000,,2,,,,,,,,,,,,,,,,,,,,
,-10%,2000000000,1000000000,,2,,,,,,,,,,,,,,,,,,,,
,-13%,Don't know (spontaneous),Don't know (spontaneous),,1,,,,,,,,,,,,,,,,,,,,
,-12%,1000000000,1000000000,,2,,,,,,,,,,,,,,,,,,,,
,3%,170000000,130000000,,2,,,,,,,,,,,,,,,,,,,,
,-6%,200000000,150000000,,3,,,,,,,,,,,,,,,,,,,,
,1%,80000000,45000000,,2,,,,,,,,,,,,,,,,,,,,
,-7%,650000000,750000000,,2,,,,,,,,,,,,,,,,,,,,
,0%,25000000,13000000,,2,,,,,,,,,,,,,,,,,,,,
,50%,500000000,700000000,,2,,,,,,,,,,,,,,,,,,,,
,42%,9000000000,8000000000,,2,,,,,,,,,,,,,,,,,,,,
,33%,1000000000,1000000000,,2,,,,,,,,,,,,,,,,,,,,
,0%,4000000000,3300000000,,2,,,,,,,,,,,,,,,,,,,,
,-16%,2000000000,1500000000,,2,,,,,,,,,,,,,,,,,,,,
,38%,Don't know (spontaneous),Don't know (spontaneous),,2,,,,,,,,,,,,,,,,,,,,
,11%,900000000,700000000,,2,,,,,,,,,,,,,,,,,,,,
,56%,350000000,250000000,,2,,,,,,,,,,,,,,,,,,,,
,29%,800000000,800000000,,2,,,,,,,,,,,,,,,,,,,,
,25%,350000000,270000000,,2,,,,,,,,,,,,,,,,,,,,
,-12%,300000000,250000000,,2,,,,,,,,,,,,,,,,,,,,
,-4%,Don't know (spontaneous),288000000,,2,,,,,,,,,,,,,,,,,,,,
,-8%,600000000,650000000,,1,,,,,,,,,,,,,,,,,,,,
,-29%,Don't know (spontaneous),Don't know (spontaneous),,2,,,,,,,,,,,,,,,,,,,,
,67%,900000000,1000000000,,2,,,,,,,,,,,,,,,,,,,,
,-9%,720000000,600000000,,1,,,,,,,,,,,,,,,,,,,,
,24%,300000000,450000000,,2,,,,,,,,,,,,,,,,,,,,
,-23%,200000000,60000000,,2,,,,,,,,,,,,,,,,,,,,
,-35%,650000000,650000000,,1,,,,,,,,,,,,,,,,,,,,
,33%,12000000000,9600000000,,3,,,,,,,,,,,,,,,,,,,,
,25%,3928000000,3643000000,,2,,,,,,,,,,,,,,,,,,,,
,22%,Don't know (spontaneous),Don't know (spontaneous),,1,,,,,,,,,,,,,,,,,,,,
,14%,4267352200,5168002800,,2,,,,,,,,,,,,,,,,,,,,
,-17%,Don't know (spontaneous),Don't know (spontaneous),,2,,,,,,,,,,,,,,,,,,,,
,17%,750000000,600000000,,1,,,,,,,,,,,,,,,,,,,,
,-34%,485000000,352000000,,2,,,,,,,,,,,,,,,,,,,,
,10%,1000000000,700000000,,2,,,,,,,,,,,,,,,,,,,,
