,FIRM GROWTH,ANNUAL SALES,INITIAL SALES,CREDIT ACCESS,_2015_a6b,,,,,,,,,,,,,,,,,,,,
,50%,Don't know (spontaneous),Don't know (spontaneous),8000,1,,,,,,,,,,,,,,,,,,,,
,25%,2.19201E+12,2.19301E+12,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,1100%,1.7E+12,1.4E+12,50000000,2,,,,,,,,,,,,,,,,,,,,
,200%,96000000000,9.8E+11,200,3,,,,,,,,,,,,,,,,,,,,
,-5%,1500000000,1200000000,1100,3,,,,,,,,,,,,,,,,,,,,
,-20%,960000000,900000000,600000000,3,,,,,,,,,,,,,,,,,,,,
,0%,3000000000,2000000000,55000000,2,,,,,,,,,,,,,,,,,,,,
,-47%,1.5E+12,1.2E+12,50000000,3,,,,,,,,,,,,,,,,,,,,
,25%,1200000000,100000000,120000,3,,,,,,,,,,,,,,,,,,,,
,176%,3000000000,1000000000,70000000,3,,,,,,,,,,,,,,,,,,,,
,-22%,28000000000,29500000000,60000000,3,,,,,,,,,,,,,,,,,,,,
,0%,40000000000,50000000000,200000,3,,,,,,,,,,,,,,,,,,,,
,44%,65000000000,65000000000,5000000,3,,,,,,,,,,,,,,,,,,,,
,25%,8121000000,15350000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,20%,20000000,Don't know (spontaneous),100000000,3,,,,,,,,,,,,,,,,,,,,
,0%,500000000,400000000,2000,3,,,,,,,,,,,,,,,,,,,,
,14%,138000000,50000000,5000000,3,,,,,,,,,,,,,,,,,,,,
,14%,700000000,900000000,150000000,3,,,,,,,,,,,,,,,,,,,,
,-8%,200000000,200000000,100000000,3,,,,,,,,,,,,,,,,,,,,
,-15%,650000000,450000000,150000000,3,,,,,,,,,,,,,,,,,,,,
,27%,500000000,400000000,100000000,3,,,,,,,,,,,,,,,,,,,,
,-17%,3000000000,2500000000,5000000,3,,,,,,,,,,,,,,,,,,,,
,-20%,3072000000,3072000000,25000000,2,,,,,,,,,,,,,,,,,,,,
,88%,1600000000,1400000000,2000000,2,,,,,,,,,,,,,,,,,,,,
,-30%,2500000000,2200000000,25000000,3,,,,,,,,,,,,,,,,,,,,
,-3%,11000000000,12000000000,10000000000,2,,,,,,,,,,,,,,,,,,,,
,-93%,5750000000,6800000000,2000000000,2,,,,,,,,,,,,,,,,,,,,
,58%,7600000000,6000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,14%,25000000000,30000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,17%,2E+11,2.5E+11,50000000,2,,,,,,,,,,,,,,,,,,,,
,4%,45000000000,24000000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,87%,3500000000,5000000000,100000000,2,,,,,,,,,,,,,,,,,,,,
,9%,30000000000,31000000000,10000000,1,,,,,,,,,,,,,,,,,,,,
,30%,5500000000,75000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,133%,2.85E+11,1.8E+11,5000000000,2,,,,,,,,,,,,,,,,,,,,
,114186%,12500000000,11000000000,Don't know (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,0%,1.4E+11,1.2E+11,15000000,3,,,,,,,,,,,,,,,,,,,,
,148%,5E+11,4.8E+11,300000000,3,,,,,,,,,,,,,,,,,,,,
,0%,2800000000,1500000000,100000000,2,,,,,,,,,,,,,,,,,,,,
,54%,6000000000,5500000000,25,1,,,,,,,,,,,,,,,,,,,,
,0%,1.3E+12,1E+12,350000000,2,,,,,,,,,,,,,,,,,,,,
,666567%,25000000000,Don't know (spontaneous),20,Micro,,,,,,,,,,,,,,,,,,,,
,-18%,3.5E+11,1.5E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,96000000000,84000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-12%,Don't know (spontaneous),1500000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-10%,1000000000,1000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,25%,3972431000,1600000000,20000000,1,,,,,,,,,,,,,,,,,,,,
,35%,3E+12,3E+12,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,33%,25000000000,16237865000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-28%,34000000000,34000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,50%,2E+12,300000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-13%,9000000000,11000000000,2000000000,1,,,,,,,,,,,,,,,,,,,,
,-33%,2400000000,2400000000,20,1,,,,,,,,,,,,,,,,,,,,
,-4%,2200000000,2500000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-7%,2800000000,3100000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,167%,15000000000,12000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,16%,3000000000,2230000000,1000000000,Micro,,,,,,,,,,,,,,,,,,,,
,20%,4E+11,3E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-6%,3672061000,5100000000,5000000,2,,,,,,,,,,,,,,,,,,,,
,0%,12000000000,8000000000,5000000,2,,,,,,,,,,,,,,,,,,,,
,30%,700000000,800000000,2000000000,1,,,,,,,,,,,,,,,,,,,,
,33%,150000000,225000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,30%,4320000000,4488000000,700000000,1,,,,,,,,,,,,,,,,,,,,
,-29%,2700000000,2900000000,Refusal (spontaneous),Micro,,,,,,,,,,,,,,,,,,,,
,56%,800000000,300000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,19%,6960000000,6000000000,1000000000,1,,,,,,,,,,,,,,,,,,,,
,435%,312000000,Don't know (spontaneous),Refusal (spontaneous),Micro,,,,,,,,,,,,,,,,,,,,
,0%,2400000000,2000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,43%,360000000,384000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-3%,3000000000,3000000000,10000,1,,,,,,,,,,,,,,,,,,,,
,64%,78000000,60000000,30000000000,1,,,,,,,,,,,,,,,,,,,,
